episode,reward,score,steps,epsilon,loss
2144,-8.8867,0,38,0.7629,0.014881
2145,-8.935,0,37,0.7615,0.022066
2146,-8.865,0,42,0.7599,0.02249
2147,-9.81,0,36,0.7585,0.01217
2148,-8.9633,0,36,0.7572,0.01576
2149,-8.9633,0,36,0.7558,0.016776
2150,-8.8917,0,37,0.7544,0.012768
2151,-8.9033,0,38,0.753,0.014677
2152,-9.7367,0,41,0.7514,0.015628
2153,-9.81,0,37,0.7501,0.017146
2154,-9.5633,0,38,0.7486,0.011414
2155,-9.8167,0,35,0.7473,0.014407
2156,-8.9067,0,38,0.7459,0.017153
2157,-9.5867,0,39,0.7445,0.009078
2158,-8.9417,0,39,0.743,0.014684
2159,-9.7558,0,42,0.7414,0.012312
2160,-9.7708,0,39,0.74,0.013293
2161,-9.6492,0,36,0.7387,0.011739
2162,-9.79,0,38,0.7373,0.009742
2163,-9.0892,0,38,0.7359,0.011912
2164,-8.9808,0,39,0.7344,0.009586
2165,-9.2467,0,39,0.733,0.012122
2166,-8.6558,0,40,0.7315,0.009956
2167,-9.665,0,37,0.7302,0.008888
2168,-8.9992,0,35,0.7289,0.008495
2169,-9.76,0,39,0.7275,0.009497
2170,-9.7892,0,37,0.7261,0.009741
2171,-9.78,0,37,0.7248,0.01061
2172,-8.8133,0,39,0.7234,0.01179
2173,-9.81,0,37,0.7221,0.009548
2174,-9.81,0,37,0.7207,0.009231
2175,-9.7275,0,47,0.719,0.011103
2176,-9.6683,0,38,0.7177,0.006286
2177,-9.7575,0,37,0.7163,0.012563
2178,-9.7675,0,39,0.7149,0.009532
2179,-8.9267,0,37,0.7136,0.007836
2180,-9.54,0,40,0.7122,0.007797
2181,-9.76,0,39,0.7108,0.009232
2182,-9.7358,0,42,0.7093,0.009274
2183,-8.9042,0,38,0.708,0.008435
2184,-9.75,0,42,0.7065,0.009153
2185,-9.79,0,41,0.705,0.008278
2186,-9.8,0,37,0.7037,0.010103
2187,-8.9592,0,36,0.7025,0.009185
2188,-8.8675,0,38,0.7011,0.010808
2189,-9.4375,0,39,0.6998,0.010945
2190,-9.0375,0,35,0.6985,0.010021
2191,-8.9617,0,37,0.6973,0.007916
2192,-9.6583,0,38,0.6959,0.015372
2193,-8.7917,0,38,0.6946,0.013359
2194,-9.79,0,39,0.6933,0.011661
2195,-8.9642,0,39,0.6919,0.011796
2196,-9.79,0,37,0.6906,0.007115
2197,-9.79,0,36,0.6894,0.010884
2198,-9.78,0,37,0.6881,0.010346
2199,-9.8,0,36,0.6869,0.011095
2200,-9.1492,0,35,0.6857,0.012924
2201,-9.2008,0,41,0.6843,0.010239
2202,-9.69,0,46,0.6827,0.01286
2203,-9.76,0,36,0.6815,0.011529
2204,-9.79,0,37,0.6802,0.006963
2205,-8.8642,0,39,0.6789,0.007748
2206,-9.66,0,45,0.6774,0.010245
2207,-9.6042,0,39,0.676,0.011536
2208,-9.81,0,36,0.6748,0.010471
2209,-9.73,0,39,0.6735,0.010811
2210,-8.9158,0,38,0.6722,0.011363
2211,-8.9592,0,37,0.671,0.010613
2212,-8.67,0,40,0.6696,0.013242
